,제목,작가,평점,내용,장르,이용연령가,연재요일
0,참교육,채용택 / 한가람,9.87,무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!,"스토리, 액션",15세 이용가,월
1,뷰티풀 군바리,설이 / 윤성원,9.81,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,"스토리, 드라마",15세 이용가,월
2,퀘스트지상주의,박태준 만화회사,9.8,"[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 작품!공부, 싸움, 외모.뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다!첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데!퀘스트 엄청 쉽잖아?! 어떤 퀘스트든 완료해주마! 그런데 다음 퀘스트가?[system] 학교 일진녀와 키스하십시오","스토리, 드라마",15세 이용가,월
3,장씨세가 호위무사,김인호 / 조형근,9.93,‘당신이 부른 것이오. 나란 사람을... ’은둔고수 광휘. 호위무사 되다.웹소설 원작 웰메이드 무협 시대극!,"스토리, 무협/사극",12세 이용가,월
4,윈드브레이커,조용석,9.83,혼자서 자전거를 즐겨타던 모범생 조자현.원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,"스토리, 스포츠",12세 이용가,월
5,팔이피플,매미 / 희세,9.94,"<마스크걸>, <위대한 방옥숙> 매미/희세 작가의 신작!SNS에서 육아용품 파는 평범한 유부녀 박주연, 그녀의 고등학교 동창인 김예희는 팔로워 70만의 셀럽으로 엄청난 부와 명성을 누리는 중이다.박주연은 김예희를 미워하는 동시에 집착하고 있는데, 과연 그녀는 김예희의 과거를 폭로하고 셀럽으로 올라설 수 있을까?","스토리, 드라마",15세 이용가,월
6,앵무살수,김성진,9.97,평범한 뱃사공으로 살고 있는 노소하. 하지만 그의 정체는 전설적인 구파검법의 후계자다. 이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.,"스토리, 판타지",15세 이용가,월
7,버림받은 왕녀의 은밀한 침실,혜니 / 성혜림,9.97,한때는 추앙받았지만 지금은 비참하게 버림받은 왕녀 르웰린. 아무도 보호해 주지 않는 그녀에게 추악한 저주가 내려진다. 그것은 바로 남자를 욕망하게 되는 저주. 르웰린은 저주의 폭주를 막기 위해 결국 자신의 침실을 열게 되는데... 버림받은 왕녀와 얽히고 설키는 네명의 남자들. 저주의 진실은 밝혀질 것인가? 그리고 그녀와 함께 할 사내는 과연 누가 될 것인가?,"스토리, 로맨스",18세 이용가,월
8,소녀의 세계,모랑지,9.93,완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물,"스토리, 드라마",전체연령가,월
9,신화급 귀속 아이템을 손에 넣었다,정선율 / 헤스,9.88,"D급 무투계 레이더로 마법계 레이더들의 고기방패나 하며 별 볼 일 없이 살던 재현. 그러던 어느 날, 던전에서 우연히 ""오딘의 눈"" 이라는 최강의 귀속 아이템을 얻게 됐다.신의 눈을 가진 자, 세계를 구할 신의 대적자의 운명을 개척하라!","스토리, 판타지",15세 이용가,월
10,퍼니게임,배진수,9.87,"<머니게임>,<파이게임> 에서 실패를 맛본 주인공은, 마지막 <퍼니게임>에서우승하기 위해 신체를 단련하고 정신을 다잡는다. 모든 참가자 중 본인만이유일한 게임 경험자임을 확인한 주인공은, 승리를 위해 악마가 되기로 결심한다.","스토리, 스릴러",15세 이용가,월
