,UserId,Contents,Tags,like_scale
0,e.a.t.ahnya, themeltingpot  シャロスキル  Avocado Burger  14 000  Detroit Double Burger  14 000  Guacamole Fries  10 000  ソウルのシャロスキルにある The Melting Pot   個人経営で長らく営業している 人気のグルメバーガー屋さんです 韓国では 少し有名になるとすぐにフランチャイズ化の動きが起こりあちこちに店舗ができてしまう傾向があるのですが こちらは個人経営を貫いているところにこだわりを感じ 行ってみることにしました  お店の方に聞くと  Avocado Burger と Detroit Double Burger がオススメとのことだったのでその2つを注文 加えて Guacamole Fries も美味しそうだったので頼んでみました  Avocado Burgerには 200gのパティ アボカド半個分 トマト ベビーリーフ マスタードソースが入っています 緑 赤 白と彩り鮮やかで映えますね お味も 肉々しいパティと 新鮮な野菜類 爽やかなマスタードソースのバランスが良かったです そしてバンズがふわふわ 肉汁やソースをたっぷり吸っているのがまた美味しく たまりません  Detroit Double Burgerは 肉々しさとジャンキーさを存分に楽しめる一品 140gのパティが2枚 アメリカンチーズも2枚 そこにベーコン 玉ねぎ クリームソースが入っています 存在感あるパティもすごいですが チーズとクリームソースが作り出すクリーミーさと玉ねぎのシャキシャキ食感が良かったです  日本の有名なグルメバーガー屋さんと比べても遜色ない 美味しいバーガーでした ハンバーガー好きの方はぜひ行ってみてくださいね  샤로수길에 있는 수제버거집  더멜팅팟  점원분이 추천해주신  Avocado Burger 와  Detroit Double Burger 를 먹어봤는데  둘 다 훌륭했어요 부드러운 식감의 햄버거번과 존재감있는 패티가 특히 맛있었고  채소토핑도 식감이 살아있어서 좋았어요   グルメ  ク ルメ好きな人と繋か りたい  韓国グルメ  ソウルグルメ  ソウル  ハンバーガー  グルメバーガー  バーガー  ポテト  食レポ  ごちそうさまでした  飯テロ  foodgasm  foodie  foodporn  koreafood  seoulfood  seoul  burger  hamburger  인스타푸드  맛집  서울맛집  샤로수길맛집  햄버거  수제버거  더멜팅팟  美食,"#themeltingpot, #グルメ, #グルメ好きな人と繋がりたい, #韓国グルメ, #ソウルグルメ, #ソウル, #ハンバーガー, #グルメバーガー, #バーガー, #ポテト, #食レポ, #ごちそうさまでした, #飯テロ, #foodgasm, #foodie, #foodporn, #koreafood, #seoulfood, #seoul, #burger, #hamburger, #인스타푸드, #맛집, #서울맛집, #샤로수길맛집, #햄버거, #수제버거, #더멜팅팟, #美食",0.22164627825005184
1,younghwa_cha,오늘은 가볍게 백세주 두병 클리어  제가 어떤 안주에 마셨을까요  짐작은가시겠지만바로그거 국순당 백세주 오늘의  안주 참치  참치회  고기  소고기  삼겹살  조개구이  초밥  스시  아구찜  해물탕  치킨  햄버거  떡볶이이 중 하나,"#짐작은가시겠지만바로그거, #국순당, #백세주, #오늘의, #안주, #참치, #참치회, #고기, #소고기, #삼겹살, #조개구이, #초밥, #스시, #아구찜, #해물탕, #치킨, #햄버거, #떡볶이이",0.06282396848434585
2,mukseein,  통새우폭탄버거                  먹시인입 속을 가득 채우는 탱글한 통새우버거다 직화로 구운 새우가 잔뜩 들어간 인생 수제버거 톡 쏘는 와사비소스까지 환상의 조화를 자랑한다 바삭한 쉬림프링 씹히는 식감까지 취향저격 특제 꿀맛소스가 발린 패티폭탄 시그니처버거다 한 입 가득 배어물어 넘쳐 흐르는 육즙 음미하기 사이드로 추천하는 바삭한 튀김옷입은 치킨 3총사다 그 중 최애는 할라피뇨가 올라간 맵싹한 치킨 지금 할 일은 우리집 근처 매장유무 검색 솔직히 여기 버거는 햄최팔까지 무조건 가능    왓더버거   직화통새우버거  8 500   셧더버거  8 400  양산시 물금읍 백호2길 17 10  매일 10 30   21 00  Ps  주차 불가 햄버거맛집  새우버거  버거맛집 수제버거  hamburger  양산맛집,"#왓더버거📍, #직화통새우버거, #셧더버거, #햄버거맛집, #새우버거, #버거맛집, #수제버거, #hamburger, #양산맛집",0.8824383164005806
3,265mm__,맘스터치 알바생 오열 ㅋㅋㅋ 토깽이가 운영하는 페이지   humor _ rabbit                   맘터  햄버거  해병대  알바  눈물  귀신잡는해병  알바잡는해병,"#맘터, #햄버거, #해병대, #알바, #눈물, #귀신잡는해병, #알바잡는해병",0.18909392494298155
4,min_happy.matzip, 맹구의 성수 패티패티 탐방  성수동맛집  수제버거  버거맛집  성수맛집  저장각  맹구가 다녀온 패티패티를 소개해 주려고해 훌쩍  맹구가 패티패티에서 주문한 메뉴는 쉬림프 쉬림프 버거 풀드포크 버거 피쉬앤칩스 폴드포크 프라이즈 쉬림프 쉬림프 버거는 100프로 새우패티에 촉촉한 햄버거 번과 쓰리라차소스와 코울슬로 로메인 토마토가 들어 있었는데 이거 일단 새우 패티는 바삭바삭하고 통 새우도 새우향 장난 아니고 소스가 대박이였어 풀드포크 버거는 24시간 수비드한 풀드포크와 수제 데리야끼소스 체다치즈 구운양파 로메인이 들어 있었어 풀드포크는 엄청 부드럽고 육즙 가득한게 넘 맛났고 데리야끼 소스랑 잘 어울리고 체다치즈 향 가득해서 넘 좋았어 피쉬앤칩스는 바삭바삭 감자가둘러진 피쉬앤칩스이구 타르타르 소스가 들어가서 아주 바삭 꾸덕 고소하니 맛도리였어 풀드포크 프라이즈는 바삭바삭한 프라이즈위에 부드러운 풀드포크와 데리야끼 소스가 올라가서 아주 풍미가득 맛나게 먹을수 있어 좋았어 다들 성수에서 맛난 수제버거를 먹고 싶다면 패티패티에 가보는걸 맹구가 정말 강추할게   패티패티  성수동2가 278 27 성수  성수동핫플레이스  서울버거맛집  버거  hamburger  맛집,"#성수동맛집, #수제버거, #버거맛집, #성수맛집, #저장각, #성수, #성수동핫플레이스, #서울버거맛집, #버거, #hamburger, #맛집",0.714078374455733
5,autumn4deer4,  BISTRO ROVEN    新宿グルメ   新宿区西新宿1 26 2     西新宿に穴場のオシャハンバーグ屋見つけた 野村ビルの地下にあるんだけど   店内すっごいお洒落だった 森の中 って感じ  ハンバーグとロールキャベツ   挽肉が強いお店みたいで本気でどれにするか悩んでデミグラスソースのハンバーグにした 肉汁がジャーってタイプでは無いけどしっかり詰まったお肉で美味しかった てかソースがすごい濃厚 って感じがした お通しで付いてくるパンつけても美味しかった なんか後で調べたらテレビでロールキャベツとか紹介されてたんね 今度は是非ロールキャベツ食べたいなぁ     일상스타그램 photooftheday  tflers  l4l  f4f  いいね返し  フィルター越しの私の世界  おしゃれ 멋쟁이 グルメ  ハンバーグ  hamburger  햄버거 肉 고기 meat 卵  egg volume  新宿  定食  野村ビル  お洒落  ロールキャベツ  洋食  bistro  西新宿  西新宿グルメ  bistroroven,"#新宿グルメ, #일상스타그램, #photooftheday, #tflers, #l4l, #f4f, #いいね返し, #フィルター越しの私の世界, #おしゃれ, #멋쟁이, #グルメ, #ハンバーグ, #hamburger, #햄버거, #肉, #고기, #meat, #卵, #egg, #volume, #新宿, #定食, #野村ビル, #お洒落, #ロールキャベツ, #洋食, #bistro, #西新宿, #西新宿グルメ, #bistroroven",0.020111963508189924
6,juhianchia,어의곡에서 털리고비로봉에서 비바람 쳐맞기 바로 전                                 제로콜라 햄버거                 해탈 멍                ,"#제로콜라, #햄버거⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀, #해탈, #멍⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",0.02467343976777939
7,jahwa85,  경기 남양주시 다산지금로 202 R01동 124호 031 560 9954 다산 맛집 가성비최고    다산 맛집 에선 가장인기많은듯  다산 맛집 중에선 분위기최고  다산 맛집 중에선 자연스러운 인테리어안녕하세요정말 인기가 많은 다산에진짜 저렴하면서도맛이 좋은 수제버거집이생겼다고 해서한번 가 보게 되었는데요여기는 팡스입니다저희 같은 경우는이렇게 맛있는 햄버거실내에서도 먹고 그리고부모님과 함께정말 햄버거를 좋아하시는부모님에게 효도를 하고 싶은 마음포장도 하게 되었는데요정말 최고의 맛집중에 하나인수제버거 맛집 팡스에요아시겠지만은이렇게 치즈 색깔로 되어 있는이쁜 인테리어가눈에 확 띄는 데요 최고였습니다다산 맛집그리고 저같은 경우는팡스 버거팡팡 버거핵핵 버거를시키 게 되었는데요정말 보시면 아시겠지만사장님께서이렇게 직접 만드는 모습도 볼 수 있고 패티를 직접 구워 주시고직접 만들어 주셔서그런지 몰라도진짜 패티 안에쇠고기 육즙이 풍미가 최고였습니다남양주 버거맛집진짜 대박이었는데요소고기가 입에서 춤을 춘다는 느낌이들 만큼 풍미가 최고였습니다다산 맛집그리고 가장 중요한 추가같은경우치즈를 하나씩 더욱더 맛있게먹을 수 있도록 추가 하게 되었는데요쇠고기 패티 야채와 함께그리고 치즈가 잘 어울려 져서그런지 몰라도너무나도 육즙 가득한 햄버거가너무나도 맛이 좋았습니다진짜 최고였는데요먹는 순간 순간마다우와 이렇게 맛있는 햄버거가이가격일까라는 생각이 들었습니다남양주 버거맛집특히 빵 같은경우도정말 수제로 만들어지는진짜 유명하고 맛있는빵을 만드 셔서그런지 몰라도 빵과맛있는 감자튀김 그리고안에 들어가 있는야채와 함께그리고 정말 최고의 쇠고기 패티가잘어울려 먹는 순간순간마다 너무 좋았습니다너무 매장도 깔끔하고그리고 햄버거와 함께정말 맛있는 육즙이진짜 뿜어져 나와 가지고진짜 최고다라고 할 수 있을 만큼너무 좋았습니다특히 요즘같이추운 날 저렴하면서정말 맛이 좋은 햄버거정말 이렇게 다산에서진짜 이쁜 야경과함께 먹을 수 있는햄버거 맛집은 책을거의 못 본 것 같은데요남양주 버거맛집진짜 메뉴도너무 정갈하고 깔끔하게인테리어도 너무 깔끔하고그리고 여기 테라 타워가사진 찍기 좋은 사진명소라서그런지 몰라도 더욱더 인기가많은 것 같습니다진짜 최고였는데요여러분들도 한번 햄버거가생각날때 다산에서가장 햄버거를 잘만드는 곳중에 하나인 수제버거 맛집중에 하나인팡스를 한번 가 보시길 추천드려요정말 추천할 만큼진짜 맛이 너무 좋았습니다  다산맛집  수제버거  햄버거  팡스  먹스타그램  먹스타  요리스타그램  맛집스타그램  맛스타그램  마스타  맛있다그램  맛있어  먹방  취향저격  냠냠  instafood  foodstagram  food  맛있다  냠냠쩝쩝  술스타그램  오늘뭐먹지,"#다산맛집, #수제버거, #햄버거, #팡스, #먹스타그램, #먹스타, #요리스타그램, #맛집스타그램, #맛스타그램, #마스타, #맛있다그램, #맛있어, #먹방, #취향저격, #냠냠, #instafood, #foodstagram, #food, #맛있다, #냠냠쩝쩝, #술스타그램, #오늘뭐먹지",0.02073398299813394
8,bro_burger_,외국느낌 물씬  과카몰리 프렌치프라이 갓튀겨낸 프렌치프라이 위에보기만해도 상큼해보이는 아보카도베이스에토마토와 사워크림이 조화롭게 신선한 과카몰리가 올라가 버거랑도 찰떡  살짝 따뜻해진 날씨에 브로버거에서 버거와 함께 만나요     브로버거  수제버거  수제버거맛집  햄버거  햄버거맛집  햄버거스타그램  버거스타그램  버거  버거맛집  방이동맛집  방이역맛집  방이동먹자골목맛집  방이동맛집추천  올림픽공원맛집  광명맛집  광명역맛집  광명맛집추천,"#과카몰리, #브로버거, #수제버거, #수제버거맛집, #햄버거, #햄버거맛집, #햄버거스타그램, #버거스타그램, #버거, #버거맛집, #방이동맛집, #방이역맛집, #방이동먹자골목맛집, #방이동맛집추천, #올림픽공원맛집, #광명맛집, #광명역맛집, #광명맛집추천",0.02467343976777939
9,thepeopleburger_official, 𝑻𝒉𝒆_𝑷𝒆𝒐𝒑𝒍𝒆_𝑩𝒖𝒓𝒈𝒆𝒓   수요일엔 수제버거   더피플버거입니다   더피플버거는오늘도 활짝 열려있습니다      A  한우로 만든육즙 가득한 버거 프랜차이즈에선 느낄 수 없는맛있는 수제버거      더피플버거  서울 은평구 연서로29길 11 6 1층  11 00   23 00  연중무휴    연신내맛집  은평구배달  수제버거맛집  버거  연신내배달  은평구수제버거  은평구핫플  햄버거  로봇버거배달  연신내핫플  은평구햄버거 로봇배달  버거로봇  햄버거맛집  연신내배달맛집  버거맛집  서빙로봇맛집 한우버거  은평구버거  은평구맛집  은평구배달맛집,"#더피플버거📍, #연신내맛집, #은평구배달, #수제버거맛집, #버거, #연신내배달, #은평구수제버거, #은평구핫플, #햄버거, #로봇버거배달, #연신내핫플, #은평구햄버거, #로봇배달, #버거로봇, #햄버거맛집, #연신내배달맛집, #버거맛집, #서빙로봇맛집, #한우버거, #은평구버거, #은평구맛집, #은평구배달맛집",0.03296703296703297
