id,title,author,summary,rating,genre,format,description,serialize,potenup,link
590668,오디네리 피플,dalk****,"우리집, 당신집, 누군가의 집. 그저 평범한 가족이야기!",9.5,daily,에피소드,"1+1=3가족
아직도 알쏭달쏭 잘 모르지만,
우리집과 그의집의 평범한 일상에 대한 관찰.",False,False,https://comic.naver.com/bestChallenge/list?titleId=590668
52652,너구리네 육아일기,ms****,육아일기,9.78,daily,에피소드,"아이들의 일상을 담은 ""육아일기""입니다 ^^",False,False,https://comic.naver.com/bestChallenge/list?titleId=52652
793248,매우의 방콕 생활일기,h3****,태국 방콕 일상툰,9.94,daily,에피소드,"매우, 태국 방콕에 도착하다!
태국생활, 문화, 태국어까지!(10컷툰)-매주 수요일 연재",False,False,https://comic.naver.com/bestChallenge/list?titleId=793248
792318,하나의 시간,phys****,특이한 고양이 하나,9.76,daily,에피소드,"산책...아니 야생 산 고양이로 조금은 특이하게 살고 있는 서울 도련님 하나.
어쩌다 이렇게 되었는지 그 과정을 
마지막 초콜릿까지 소중하게 그리고 같이 하나 하나 열어봐요.",False,False,https://comic.naver.com/bestChallenge/list?titleId=792318
701701,아빠는 N살,fa****,아빠 4컷 그림일기,9.91,daily,에피소드,아빠가 된지 9년. 아빠로서의 나이 아홉 살,False,False,https://comic.naver.com/bestChallenge/list?titleId=701701
764060,로로의 일본생활 다이어리,nomo****,일본 먹부림 일기,9.84,daily,에피소드,흘러가는 대로 살다가 일본회사에 취직하게 된 로로. 하루도 편할 날 없이 우당탕탕 우르르 쾅쾅.,False,False,https://comic.naver.com/bestChallenge/list?titleId=764060
791034,우주동물원,cjfa****,우주동물원,9.73,daily,스토리,지구에서 불행하게 살던 철민이가 외계인한테 납치당해 외계인 공주의 동물원에서 즐겁게 사는 이야기 (제목 예쁜말로 바꿈),False,False,https://comic.naver.com/bestChallenge/list?titleId=791034
717249,육식 토끼,bybo****,소심 토끼 반항기,9.81,daily,스토리,"학생신분 종료, 공식적으로 백수가 된  ‘모순’!!
뒤늦은 사춘기로 괴로워하던 어느 날 
덜컥 ‘육식이 가능한 개체’라는 진단을 받게 되는데…

평범하고 싶지 않은 평범한 토끼!!
극내향 소심인 모순이의 우당탕탕 반항기",False,False,https://comic.naver.com/bestChallenge/list?titleId=717249
786457,유산은 처음이라,kahi****,또 유산입니다,9.62,daily,에피소드,"습관성 유산을 극복해 아이를 출산한 투빈맘의 경험담 이야기.

매주 (수) 연재합니다.
인스타 @2bin_mom",False,False,https://comic.naver.com/bestChallenge/list?titleId=786457
775225,기후위기인간,ko****,지구와나의 연결고리,9.9,daily,옴니버스,"드럽게 살기 힘든 요즘 세상. 

엎친데 덮쳐서 기후변화까지..

도대체 나는 어떻게 살아야할까?",False,False,https://comic.naver.com/bestChallenge/list?titleId=775225
763576,찬란의 날,yere****,'칩'이 나타났다.,9.84,daily,스토리,"기계 좀비가 가득해진 세상, 아버지를 죽인 나는 죽기로 결심했다.",False,False,https://comic.naver.com/bestChallenge/list?titleId=763576
725044,나는 마요 집사로소이다,je****,쉽지 않은 집사생활,9.86,daily,에피소드,"고양이가 너무 귀여워서 시작한 집사생활 
근데 너무 힘들어..",False,False,https://comic.naver.com/bestChallenge/list?titleId=725044
785023,나는 엄마다,wjdg****,괴물엄마와 인간 딸,9.79,daily,스토리,"바이러스가 퍼지고 괴물이 가득한 세상속에서 자신의 딸을 지키기 위해 노력하는 괴물엄마.
그런 엄마를 믿고 따르는 인간 딸 축복이. 엄마와 딸의 이야기가 시작한다.",False,False,https://comic.naver.com/bestChallenge/list?titleId=785023
768347,육아도 경력이 될 수 있다면,ahin****,육아 에세이툰,9.7,daily,에피소드,"이력서에는 공백기로 남겠지만, 아이를 키우면서 엄마도 함께 성장한 이야기
(화요일 저녁에 연재합니다)",False,False,https://comic.naver.com/bestChallenge/list?titleId=768347
722846,낯가리는 관종,shin****,낯가리는 관종일기,9.83,daily,에피소드,"첫 인상은 내향적이며 낯가리는 듯...?하지만 알고보니 관심종자!
내향적이고 낯가리는 시논의 관종일기",False,False,https://comic.naver.com/bestChallenge/list?titleId=722846
784527,오늘의 난,nan_****,"오늘의 난, 난그림",9.37,daily,옴니버스,"난그림(이하 경난)의 재밌고 유쾌한 이야기! 매주 화요일, 목요일 저녁에 만나요 :D",False,False,https://comic.naver.com/bestChallenge/list?titleId=784527
763952,과학고 생존일지,zu****,과학고에 간 문과생,9.82,daily,에피소드,"과학고, 영재들만 가는거 아냐? 빈둥거리는걸 제일 좋아하는 찐빵이가, 과학고에 가게 되었습니다. 100% 실화 기반 일상툰! <격주 화요일 업로드!>",False,False,https://comic.naver.com/bestChallenge/list?titleId=763952
697770,채똘일기,cm****,채똘일기,9.61,daily,에피소드,채똘의 흔한 그림일기,False,False,https://comic.naver.com/bestChallenge/list?titleId=697770
793318,여대생존기,toot****,재수후 들어간 여대,9.89,daily,에피소드,"'여대생들 진짜 기싸움 심해?' 주변인들의 질문에 걱정 가득안고 뒤늦게 들어간 여대생활!
하지만 첫 오티부터 범상치 않는 사람들을 만나며 충격에 빠지는데...!
100%실화 기반 웹툰 <매주 화요일 업로드 됩니다>",False,False,https://comic.naver.com/bestChallenge/list?titleId=793318
790561,스물마흔다섯 살  -시즌1-,jama****,마흔의 육아,9.82,daily,에피소드,"[마흔이 된 아빠의 육아기록] 
인스타 @bkpuroon",False,False,https://comic.naver.com/bestChallenge/list?titleId=790561
387120,굥이의 하루,j_km****,굥이의 하루,9.67,daily,에피소드,"굥이의 일상에서 벌어지는 에피소드를 공감하세요~
http://blog.naver.com/j_kmink",False,False,https://comic.naver.com/bestChallenge/list?titleId=387120
788548,날림생활기,myha****,날아간 일상을 기록,9.85,daily,에피소드,"날로 먹는건 좋은데 인생 날리는 건 싫어요(?)
아이러니 가득한 도둑놈심보로 인생 사는 기록들",False,False,https://comic.naver.com/bestChallenge/list?titleId=788548
743367,재테크는 스크루지,sk****,초보자용 재테크웹툰,9.72,daily,에피소드,"현대판 스크루지 남편에게 차근차근 배워가는 재테크 이야기.
가계부 쓰기부터 주식투자에 이르기까지 초보자들을 위한 경제 웹툰!
지금 시작합니다! 월요일 연재입니다~^^",False,False,https://comic.naver.com/bestChallenge/list?titleId=743367
703099,일상견문록,jaem****,여러나라 일상이야기,9.89,daily,에피소드,"총 1,123일, 25개국, 52개도시. 쉬엄쉬엄 머물며 느긋하게 보내는 일상, 음식 이야기.",False,False,https://comic.naver.com/bestChallenge/list?titleId=703099
773874,고고고,ehow****,집사가 되어라!!!,9.9,daily,에피소드,"""너, 내 집사가 되어라!"" 어느 날 갑자기 고양이 세 마리의 간택을 받게 된 집사. 
겉모습만큼 성격도 가지각색인 고양이 세 마리와 초보 집사의 털 날리는 일상 이야기. 매주 화요일 연재",False,False,https://comic.naver.com/bestChallenge/list?titleId=773874
769025,집에서 뒹굴뒹굴,koal****,집에서 애둘 키우기,9.88,daily,에피소드,"내가 100년, 아이들이 100년을 산다고 해도 다 같이 사는 시간은 겨우 20년정도.

""100년 중에 몇 년 쯤이야 집에서 살 부비며 뒹굴뒹굴 하자~""
집에서 아이들과 지낸 일상 에피소드  <집에서 뒹굴뒹굴>

- 매주 화요일 연재 -",False,False,https://comic.naver.com/bestChallenge/list?titleId=769025
