,0,1,2,3
0,stb.0709.72yq,"@chef_seokdeok안녕하세요. 이태리에서 🏫요리학교를 나와 지금까지 이태리 요리를 공부하고 있는 👨 🍳셰프 이석덕입니다.-매일매일 롱,숏 생면 파스타를 뽑고 있으며, 보통의 파스타집에서 요리하는 건면은 절대 사용하지 않습니다. 👋건면은 생면에 비해 품질이 떨어지고 신선하지 않기에 저는 오로지 이태리 남부와 북부, 시칠리아지역 스타일의 건강하고 신선한 생면만을 고집하여 👍👍최고의 생면파스타를 만들고자 합니다. 또한 보통 생면을 사용한 요리는 2-3만원대의 가격으로 판매되지만, 이석덕셰프는 정직한 장사 마인드를 가지고 4900원에서 8900원의 가격으로 판매하고 있습니다. 생면파스타를 만든다는 자부심을 가지고 이태리 현지에서 공수한 고급 재료와 국내의 신선한 재료로 정성을 다해 만들고 있습니다. 검증된 TV프로그램인  KBS생생정보733회/934회, SBS모닝와이드 7413회 금요면탐정 sbs 생방송투데이 먹킷리스트  출연하였으며 모두 방송국의 요청을 받아 촬영했습니다. 이태리 전통메뉴를 고집하며 끊임없이 배우고 공부하여 자부심을 가지고 최고의 생면파스타를 만들겠습니다.감사합니다.****생면****연질밀(카푸토00+계란반죽)1500원,듀럼밀(세몰리나+물반죽)1000원 선택해주세요 *^[롱파스타] 80~130g (면에 따라 g 다릅니다) -1인분 물반죽-1000원 , 계란반죽-1500원 스파게티 -1000원 / 1500원 탈리아텔레 -1000원 레지네테 -1000원 페투치네 -1000원 부가티니 -1000원 탈리올리니 -1000원 타야린(계란반죽)-1500원키타라(물,계란반죽)-1000원,1500원 [숏파스타] 200g - 1인분 물반죽 2000원 계란반죽2500원 먹물갈레티 -2000원 / 2500원 리가토니 -2000원오레키에테 -2000원파케리 -2000원콘킬리에 -2000원카사레체 -2000원푸질리 -2000원카바델리-2000원[색깔면] 롱,숏파스타  롱1500원 1인분 / 숏2500원 1인분 먹물,비트,시금치 🇮🇹주문방법- 스파게티(계란반죽) 3인분  파케리(물반죽) 5인분 ****소스****토마토소스(600g) -4000원볼로네제 라구소스(300g)-10000원 트러플페스토(300g) -10000원 시칠리아페스토(300g) -10000원바질페스토(300g)-15000원 해산물라구소스(300g)-10000원 *라비올리(4pcs/1인분 소-루꼴라리코타치즈)3000원*구운 뇨끼(4pcs/1인분)- 3000원 *콘킬리에 구운 라비올리(4pcs/1인분)- 3000원*로마식 아란치니(스몰사이즈/2개)- 3000원 (60~70g/라구소스에 모짜렐라 치즈 들어갔어요)*라자냐(1개/1인분)- 5000원(오븐에 굽기만 하면 됩니다)트러플 100g (이탈리아 최고급 움브리아 지방) 8만원 트러플오일 250g (직접 핸드 메이드) 트러플 듬뿍 넣어서 ^^2만원 🇮🇹주문상담 카카오톡 아이디 - duck0905 (문자주세요^^) 면종류&소스수량 , 주소 , 핸드폰번호 기재부탁드려요 🇮🇹결제: 주문접수후 바로결재 확인후 배송입니다 카톡으로 결재 확인 문구 부탁드립니다 🇮🇹판매대상 : 전국 파스타,카페,레스토랑,파스타바,생면파스타오픈 사장님 & 일반고객도 가능합니다 🇮🇹첫 주문시 제가 직접 방문해드립니다 🇮🇹주문:월-수 3시이전 주문접수 다음날 배송입니다 10만원이하 택배비부담 , 10만원이상 택배비 무료 🇮🇹직접뽑은 생면&소스 납품,생면파스타오픈 1:1 컨설팅,생면파스타머신 카카오채널 #파스타 #생면파스타 #연남맛집 #연남동맛집 #홍대맛집 #연트럴파크맛집 #홍대입구역맛집 #연남동데이트 #연남동데이트코스 #연남동와인 #파스타맛집 #연남파스트 #신촌파스타 #이대파스타 #홍대파스타 #연남소개팅 #연남동소개팅 #홍대역맛집 #상암동맛집 #마포구맛집 (광고)","['#파스타', '#생면파스타', '#연남맛집', '#연남동맛집', '#홍대맛집', '#연트럴파크맛집', '#홍대입구역맛집', '#연남동데이트', '#연남동데이트코스', '#연남동와인', '#파스타맛집', '#연남파스트', '#신촌파스타', '#이대파스타', '#홍대파스타', '#연남소개팅', '#연남동소개팅', '#홍대역맛집', '#상암동맛집', '#마포구맛집']",153
1,jo.a_menu,"#조아_메뉴주말엔 왠지 요리가 더 하기 싫어지는 마음...그냥 주말엔 편하게 대-충 집에 있는걸로 먹고싶을때딱히 재료도 없고 있는 재료로 극강의 맛을 끌어내고 싶을때냉동실&냉장실 털이 하고 싶을때 딱! 인 레싶🫶🏼✔️재료세몰리나 푸실리 (숏파스타 아무거나) 65g토마토 1개닭가슴살소세지 1개살라미 2-3장 (베이컨 대체 가능)치즈 아무거나▪️파스타를 삶아줍니다. (올리브오일 + 소금 조금씩 넣어줍니다)▪️토마토 챱, 닭쏘 챱, 살라미 진짜 째깐하게 다져주세요!▪️팬에 살라미를 볶고 볶은데서 나온 기름에 바로 닭쏘 투하▪️그 사이 다 익힌 푸실리 투하 + 면수 1소주컵 ▪️챱한 토마토 투하 후 물기가 사라질때까지 볶으면 완성!면수에 이미 간 + 살라미 짭쪼름 = 간 필요없음게다가 토마토에서 나온 즙이 푸실리에 부드럽게 발려(?)토마토즙 발린 촉촉한 볶음 숏파스타 완성...방울 토마토도 좋지만~! 토마토를 사용하면좀 더 물컹한 속살이 많아서 한결 더 촉촉해요.다이어터라면 냉동실에 닭쏘 하나씩은 다 있죠?닭쏘 아니라도 그냥 일반 소세지도 가능해요!오독오독 씹히는게 일품이라 소세지 강력추천.치즈는 모짜렐라/에담/고다+체다치즈도 추천해요.내일 마트가면 브리치즈랑 블루치즈 좀 사려고 하는데그럼 꿈꿈(?)한 치즈 맛 좋아하는 사람은좀만 기다려주세요? 🫶🏼💜#식단일기#다이어트식단레시피-","['#조아_메뉴주말엔', '#식단일기', '#다이어트식단레시피-']",1641
2,___foodtour,"젤리 동파육에 홈런볼 탕수육,, 대학로 신상 맛집 떳어요. #혜화#해피니스이름처럼 중식으로 참 된 행복을 찾았어요. 맛 하나로 줄세우는 곳이에요. 돼지 안심으로 만든 목화탕수육은 겉쫀속촉 그 자체. 새콤 달콤한 소스가 미각을 자극해요. 진크림새우는 크림소스에 새우내장이 들어가서 그런지 고소한 풍미가 가득! 새우 요리에 면이 서비스로 들어간 느낌,, 새우는 껍질이 다 까져있어서 먹기 너무 편해요.14시간의 정성이 필요한 동파육은 한정판매 메뉴에요. 오겹살 동파육이라서 유난히 쫀득해요! 진한 소스에 부드러운 청경채가 꿀조합~ 중식 좋아하시면 강추합니다! 📍해피니스📍서울 종로구 대학로11길 40 세훈빌딩 1층#투어_혜화","['#혜화', '#해피니스이름처럼', '#투어_혜화']",66
3,zeoanaoa__.vva,"@chef_seokdeok안녕하세요. 이태리에서 🏫요리학교를 나와 지금까지 이태리 요리를 공부하고 있는 👨 🍳셰프 이석덕입니다.-매일매일 롱,숏 생면 파스타를 뽑고 있으며, 보통의 파스타집에서 요리하는 건면은 절대 사용하지 않습니다. 👋건면은 생면에 비해 품질이 떨어지고 신선하지 않기에 저는 오로지 이태리 남부와 북부, 시칠리아지역 스타일의 건강하고 신선한 생면만을 고집하여 👍👍최고의 생면파스타를 만들고자 합니다. 또한 보통 생면을 사용한 요리는 2-3만원대의 가격으로 판매되지만, 이석덕셰프는 정직한 장사 마인드를 가지고 4900원에서 8900원의 가격으로 판매하고 있습니다. 생면파스타를 만든다는 자부심을 가지고 이태리 현지에서 공수한 고급 재료와 국내의 신선한 재료로 정성을 다해 만들고 있습니다. 검증된 TV프로그램인  KBS생생정보733회/934회, SBS모닝와이드 7413회 금요면탐정 sbs 생방송투데이 먹킷리스트  출연하였으며 모두 방송국의 요청을 받아 촬영했습니다. 이태리 전통메뉴를 고집하며 끊임없이 배우고 공부하여 자부심을 가지고 최고의 생면파스타를 만들겠습니다.감사합니다.****생면****연질밀(카푸토00+계란반죽)1500원,듀럼밀(세몰리나+물반죽)1000원 선택해주세요 *^[롱파스타] 80~130g (면에 따라 g 다릅니다) -1인분 물반죽-1000원 , 계란반죽-1500원 스파게티 -1000원 / 1500원 탈리아텔레 -1000원 레지네테 -1000원 페투치네 -1000원 부가티니 -1000원 탈리올리니 -1000원 타야린(계란반죽)-1500원키타라(물,계란반죽)-1000원,1500원 [숏파스타] 200g - 1인분 물반죽 2000원 계란반죽2500원 먹물갈레티 -2000원 / 2500원 리가토니 -2000원오레키에테 -2000원파케리 -2000원콘킬리에 -2000원카사레체 -2000원푸질리 -2000원카바델리-2000원[색깔면] 롱,숏파스타  롱1500원 1인분 / 숏2500원 1인분 먹물,비트,시금치 🇮🇹주문방법- 스파게티(계란반죽) 3인분  파케리(물반죽) 5인분 ****소스****토마토소스(600g) -4000원볼로네제 라구소스(300g)-10000원 트러플페스토(300g) -10000원 시칠리아페스토(300g) -10000원바질페스토(300g)-15000원 해산물라구소스(300g)-10000원 *라비올리(4pcs/1인분 소-루꼴라리코타치즈)3000원*구운 뇨끼(4pcs/1인분)- 3000원 *콘킬리에 구운 라비올리(4pcs/1인분)- 3000원*로마식 아란치니(스몰사이즈/2개)- 3000원 (60~70g/라구소스에 모짜렐라 치즈 들어갔어요)*라자냐(1개/1인분)- 5000원(오븐에 굽기만 하면 됩니다)트러플 100g (이탈리아 최고급 움브리아 지방) 8만원 트러플오일 250g (직접 핸드 메이드) 트러플 듬뿍 넣어서 ^^2만원 🇮🇹주문상담 카카오톡 아이디 - duck0905 (문자주세요^^) 면종류&소스수량 , 주소 , 핸드폰번호 기재부탁드려요 🇮🇹결제: 주문접수후 바로결재 확인후 배송입니다 카톡으로 결재 확인 문구 부탁드립니다 🇮🇹판매대상 : 전국 파스타,카페,레스토랑,파스타바,생면파스타오픈 사장님 & 일반고객도 가능합니다 🇮🇹첫 주문시 제가 직접 방문해드립니다 🇮🇹주문:월-수 3시이전 주문접수 다음날 배송입니다 10만원이하 택배비부담 , 10만원이상 택배비 무료 🇮🇹직접뽑은 생면&소스 납품,생면파스타오픈 1:1 컨설팅,생면파스타머신 카카오채널 #파스타 #생면파스타 #연남맛집 #연남동맛집 #홍대맛집 #연트럴파크맛집 #홍대입구역맛집 #연남동데이트 #연남동데이트코스 #연남동와인 #파스타맛집 #연남파스트 #신촌파스타 #이대파스타 #홍대파스타 #연남소개팅 #연남동소개팅 #홍대역맛집 #상암동맛집 #마포구맛집 (광고)","['#파스타', '#생면파스타', '#연남맛집', '#연남동맛집', '#홍대맛집', '#연트럴파크맛집', '#홍대입구역맛집', '#연남동데이트', '#연남동데이트코스', '#연남동와인', '#파스타맛집', '#연남파스트', '#신촌파스타', '#이대파스타', '#홍대파스타', '#연남소개팅', '#연남동소개팅', '#홍대역맛집', '#상암동맛집', '#마포구맛집']",138
4,mukggiri,세상에서 제일 맛있는 별이다.넘나 귀욤뽀짝한 별이 미트볼 위에서웃고있어용;; 부드러운 데미크림 소스⠀+청양고추의 완벽 밸런스ㅗㅜ 미트볼두께가 함박 스테이크급 두툼한 육즙폭포입니다용;; 크림소스 찍어먹으면행복조합 밑바닥까지 긁어먹은 부분;;⠀입에서 오물오물 몇번 하다보면 없는입살녹 하우스 스테이크와 미국엉아들도 울고가는 빠삭한 도라방스 조합와플치킨까지;; 조지 워싱턴도 반할듯⠀🐘#헤이죠지 🐘서울 마포구 동교로46길 42-24 1층🐘홍대입구역 3번 출구#먹끼리_마포 #홍대맛집 #홍대맛집추천 #홍대파스타 #홍대파스타맛집 #홍대입구역맛집 #홍대입구맛집 #연남동맛집 #연남동맛집추천 #연남동파스타 #연남동파스타맛집 #연남맛집 #연희동맛집 #연트럴파크맛집 #파스타 #파스타맛집 #함박스테이크 #함박스테이크맛집 #투움바파스타 #크림파스타 #스파게티 #스파게티맛집 #크림스파게티,"['#헤이죠지', '#먹끼리_마포', '#홍대맛집', '#홍대맛집추천', '#홍대파스타', '#홍대파스타맛집', '#홍대입구역맛집', '#홍대입구맛집', '#연남동맛집', '#연남동맛집추천', '#연남동파스타', '#연남동파스타맛집', '#연남맛집', '#연희동맛집', '#연트럴파크맛집', '#파스타', '#파스타맛집', '#함박스테이크', '#함박스테이크맛집', '#투움바파스타', '#크림파스타', '#스파게티', '#스파게티맛집', '#크림스파게티']",738
5,hcncncz09ds,"@chef_seokdeok안녕하세요. 이태리에서 🏫요리학교를 나와 지금까지 이태리 요리를 공부하고 있는 👨 🍳셰프 이석덕입니다.-매일매일 롱,숏 생면 파스타를 뽑고 있으며, 보통의 파스타집에서 요리하는 건면은 절대 사용하지 않습니다. 👋건면은 생면에 비해 품질이 떨어지고 신선하지 않기에 저는 오로지 이태리 남부와 북부, 시칠리아지역 스타일의 건강하고 신선한 생면만을 고집하여 👍👍최고의 생면파스타를 만들고자 합니다. 또한 보통 생면을 사용한 요리는 2-3만원대의 가격으로 판매되지만, 이석덕셰프는 정직한 장사 마인드를 가지고 4900원에서 8900원의 가격으로 판매하고 있습니다. 생면파스타를 만든다는 자부심을 가지고 이태리 현지에서 공수한 고급 재료와 국내의 신선한 재료로 정성을 다해 만들고 있습니다. 검증된 TV프로그램인  KBS생생정보733회/934회, SBS모닝와이드 7413회 금요면탐정 sbs 생방송투데이 먹킷리스트  출연하였으며 모두 방송국의 요청을 받아 촬영했습니다. 이태리 전통메뉴를 고집하며 끊임없이 배우고 공부하여 자부심을 가지고 최고의 생면파스타를 만들겠습니다.감사합니다.****생면****연질밀(카푸토00+계란반죽)1500원,듀럼밀(세몰리나+물반죽)1000원 선택해주세요 *^[롱파스타] 80~130g (면에 따라 g 다릅니다) -1인분 물반죽-1000원 , 계란반죽-1500원 스파게티 -1000원 / 1500원 탈리아텔레 -1000원 레지네테 -1000원 페투치네 -1000원 부가티니 -1000원 탈리올리니 -1000원 타야린(계란반죽)-1500원키타라(물,계란반죽)-1000원,1500원 [숏파스타] 200g - 1인분 물반죽 2000원 계란반죽2500원 먹물갈레티 -2000원 / 2500원 리가토니 -2000원오레키에테 -2000원파케리 -2000원콘킬리에 -2000원카사레체 -2000원푸질리 -2000원카바델리-2000원[색깔면] 롱,숏파스타  롱1500원 1인분 / 숏2500원 1인분 먹물,비트,시금치 🇮🇹주문방법- 스파게티(계란반죽) 3인분  파케리(물반죽) 5인분 ****소스****토마토소스(600g) -4000원볼로네제 라구소스(300g)-10000원 트러플페스토(300g) -10000원 시칠리아페스토(300g) -10000원바질페스토(300g)-15000원 해산물라구소스(300g)-10000원 *라비올리(4pcs/1인분 소-루꼴라리코타치즈)3000원*구운 뇨끼(4pcs/1인분)- 3000원 *콘킬리에 구운 라비올리(4pcs/1인분)- 3000원*로마식 아란치니(스몰사이즈/2개)- 3000원 (60~70g/라구소스에 모짜렐라 치즈 들어갔어요)*라자냐(1개/1인분)- 5000원(오븐에 굽기만 하면 됩니다)트러플 100g (이탈리아 최고급 움브리아 지방) 8만원 트러플오일 250g (직접 핸드 메이드) 트러플 듬뿍 넣어서 ^^2만원 🇮🇹주문상담 카카오톡 아이디 - duck0905 (문자주세요^^) 면종류&소스수량 , 주소 , 핸드폰번호 기재부탁드려요 🇮🇹결제: 주문접수후 바로결재 확인후 배송입니다 카톡으로 결재 확인 문구 부탁드립니다 🇮🇹판매대상 : 전국 파스타,카페,레스토랑,파스타바,생면파스타오픈 사장님 & 일반고객도 가능합니다 🇮🇹첫 주문시 제가 직접 방문해드립니다 🇮🇹주문:월-수 3시이전 주문접수 다음날 배송입니다 10만원이하 택배비부담 , 10만원이상 택배비 무료 🇮🇹직접뽑은 생면&소스 납품,생면파스타오픈 1:1 컨설팅,생면파스타머신 카카오채널 #파스타 #생면파스타 #연남맛집 #연남동맛집 #홍대맛집 #연트럴파크맛집 #홍대입구역맛집 #연남동데이트 #연남동데이트코스 #연남동와인 #파스타맛집 #연남파스트 #신촌파스타 #이대파스타 #홍대파스타 #연남소개팅 #연남동소개팅 #홍대역맛집 #상암동맛집 #마포구맛집 (광고)","['#파스타', '#생면파스타', '#연남맛집', '#연남동맛집', '#홍대맛집', '#연트럴파크맛집', '#홍대입구역맛집', '#연남동데이트', '#연남동데이트코스', '#연남동와인', '#파스타맛집', '#연남파스트', '#신촌파스타', '#이대파스타', '#홍대파스타', '#연남소개팅', '#연남동소개팅', '#홍대역맛집', '#상암동맛집', '#마포구맛집']",139
6,jptnhawwe,"@chef_seokdeok안녕하세요. 이태리에서 🏫요리학교를 나와 지금까지 이태리 요리를 공부하고 있는 👨 🍳셰프 이석덕입니다.-매일매일 롱,숏 생면 파스타를 뽑고 있으며, 보통의 파스타집에서 요리하는 건면은 절대 사용하지 않습니다. 👋건면은 생면에 비해 품질이 떨어지고 신선하지 않기에 저는 오로지 이태리 남부와 북부, 시칠리아지역 스타일의 건강하고 신선한 생면만을 고집하여 👍👍최고의 생면파스타를 만들고자 합니다. 또한 보통 생면을 사용한 요리는 2-3만원대의 가격으로 판매되지만, 이석덕셰프는 정직한 장사 마인드를 가지고 4900원에서 8900원의 가격으로 판매하고 있습니다. 생면파스타를 만든다는 자부심을 가지고 이태리 현지에서 공수한 고급 재료와 국내의 신선한 재료로 정성을 다해 만들고 있습니다. 검증된 TV프로그램인  KBS생생정보733회/934회, SBS모닝와이드 7413회 금요면탐정 sbs 생방송투데이 먹킷리스트  출연하였으며 모두 방송국의 요청을 받아 촬영했습니다. 이태리 전통메뉴를 고집하며 끊임없이 배우고 공부하여 자부심을 가지고 최고의 생면파스타를 만들겠습니다.감사합니다.****생면****연질밀(카푸토00+계란반죽)1500원,듀럼밀(세몰리나+물반죽)1000원 선택해주세요 *^[롱파스타] 80~130g (면에 따라 g 다릅니다) -1인분 물반죽-1000원 , 계란반죽-1500원 스파게티 -1000원 / 1500원 탈리아텔레 -1000원 레지네테 -1000원 페투치네 -1000원 부가티니 -1000원 탈리올리니 -1000원 타야린(계란반죽)-1500원키타라(물,계란반죽)-1000원,1500원 [숏파스타] 200g - 1인분 물반죽 2000원 계란반죽2500원 먹물갈레티 -2000원 / 2500원 리가토니 -2000원오레키에테 -2000원파케리 -2000원콘킬리에 -2000원카사레체 -2000원푸질리 -2000원카바델리-2000원[색깔면] 롱,숏파스타  롱1500원 1인분 / 숏2500원 1인분 먹물,비트,시금치 🇮🇹주문방법- 스파게티(계란반죽) 3인분  파케리(물반죽) 5인분 ****소스****토마토소스(600g) -4000원볼로네제 라구소스(300g)-10000원 트러플페스토(300g) -10000원 시칠리아페스토(300g) -10000원바질페스토(300g)-15000원 해산물라구소스(300g)-10000원 *라비올리(4pcs/1인분 소-루꼴라리코타치즈)3000원*구운 뇨끼(4pcs/1인분)- 3000원 *콘킬리에 구운 라비올리(4pcs/1인분)- 3000원*로마식 아란치니(스몰사이즈/2개)- 3000원 (60~70g/라구소스에 모짜렐라 치즈 들어갔어요)*라자냐(1개/1인분)- 5000원(오븐에 굽기만 하면 됩니다)트러플 100g (이탈리아 최고급 움브리아 지방) 8만원 트러플오일 250g (직접 핸드 메이드) 트러플 듬뿍 넣어서 ^^2만원 🇮🇹주문상담 카카오톡 아이디 - duck0905 (문자주세요^^) 면종류&소스수량 , 주소 , 핸드폰번호 기재부탁드려요 🇮🇹결제: 주문접수후 바로결재 확인후 배송입니다 카톡으로 결재 확인 문구 부탁드립니다 🇮🇹판매대상 : 전국 파스타,카페,레스토랑,파스타바,생면파스타오픈 사장님 & 일반고객도 가능합니다 🇮🇹첫 주문시 제가 직접 방문해드립니다 🇮🇹주문:월-수 3시이전 주문접수 다음날 배송입니다 10만원이하 택배비부담 , 10만원이상 택배비 무료 🇮🇹직접뽑은 생면&소스 납품,생면파스타오픈 1:1 컨설팅,생면파스타머신 카카오채널 #파스타 #생면파스타 #연남맛집 #연남동맛집 #홍대맛집 #연트럴파크맛집 #홍대입구역맛집 #연남동데이트 #연남동데이트코스 #연남동와인 #파스타맛집 #연남파스트 #신촌파스타 #이대파스타 #홍대파스타 #연남소개팅 #연남동소개팅 #홍대역맛집 #상암동맛집 #마포구맛집 (광고)","['#파스타', '#생면파스타', '#연남맛집', '#연남동맛집', '#홍대맛집', '#연트럴파크맛집', '#홍대입구역맛집', '#연남동데이트', '#연남동데이트코스', '#연남동와인', '#파스타맛집', '#연남파스트', '#신촌파스타', '#이대파스타', '#홍대파스타', '#연남소개팅', '#연남동소개팅', '#홍대역맛집', '#상암동맛집', '#마포구맛집']",148
7,mukggiri,살살녹는 살치살 파스타다.부드러운 크림 베이스+입에서 솜사탕마냥녹아벌이는 육즙폭탄 스테이크 크림 파스타⠀송정바다 바라보며 즐기는 소소한 일탈ㅗㅜ꾸덕한 크림과 어우러지는 육즙콸콸 살치살치즈를 아주 가득가득 채워버린 쪼오올깃한라자냐;; 쭈우우욱 늘어나는 치즈가 내 마음⠀훔쳐벌이는 녀석ㅗㅜ 통통한 새우가 까아득들어있는 매콤해서 맛있는 매콤 쉬림프피자+맥주도둑 감바스까지;; 뷰만 먹어도 행복한부분인데 파스타부터 피자까지 싹다 죽여용;;⠀🐘#마담에뽀끄 🐘부산 해운대구 송정광어골로 71 1층#먹끼리_부산 #송정맛집 #송정역맛집 #송정맛집추천 #송정동맛집 #해운대맛집 #해운대맛집추천 #해운대파스타 #해운대구맛집 #부산파스타 #부산파스타맛집 #부산맛집 #부산맛집추천 #부산맛집투어 #파스타 #파스타맛집 #크림파스타 #스테이크 #스테이크파스타 #까르보나라 #까르보나라파스타 #까르보나라스파게티 #마담에뽀끄송정,"['#마담에뽀끄', '#먹끼리_부산', '#송정맛집', '#송정역맛집', '#송정맛집추천', '#송정동맛집', '#해운대맛집', '#해운대맛집추천', '#해운대파스타', '#해운대구맛집', '#부산파스타', '#부산파스타맛집', '#부산맛집', '#부산맛집추천', '#부산맛집투어', '#파스타', '#파스타맛집', '#크림파스타', '#스테이크', '#스테이크파스타', '#까르보나라', '#까르보나라파스타', '#까르보나라스파게티', '#마담에뽀끄송정']",1230
8,yoriharu.cook,"칼칼한 오징어 무국 파스타 🦑🌶️Spicy Squid Oil Pasta.오징어 무국이 먹고싶어 재료를 꺼냈는데갑자기 파스타가 먹고싶은 변덕이 생기지 뭐예요 🙄#여자마음은갈대 🌾그래서 오징어무국을 파스타화 시켜봤어요 😋오징어 140g, ev올리브오일 3-4스푼, 버터 7g,편썰은 마늘 두주먹, 애호박 반개, 멸치액젓,0.6-0.7cm 두께 길이 5cm 로 채썬 무 두주먹, 페퍼론치노 4-5개 또는 베트남 고추 2-3개,후추, 마늘분태, 파르미지아노 치즈, 분쇄 페퍼론치노,삶은 링귀네 파스타 80g, 면수 50ml.리가토니 만들었을 때랑 크게 다르지 않은데..그래서 맛있네요 ㅋㅋㅋㅋㅋㅋㅋ파스타에 무 넣어본거 처음인데,푹 익은 무가 오징어 파스타에 잘 어울렸어요 😉⠀ ⠀ ⠀ #온더테이블 #홈쿡 #홈브런치 #파스타#onthetable #homecooking #pasta","['#여자마음은갈대', '#온더테이블', '#홈쿡', '#홈브런치', '#파스타', '#onthetable', '#homecooking', '#pasta']",744
9,jjjun3258,#연남동 #연남동맛집 #홍대 #홍대맛집 #홍대파스타 #홍대데이트 #헤이죠지 #스테이크 #파스타,"['#연남동', '#연남동맛집', '#홍대', '#홍대맛집', '#홍대파스타', '#홍대데이트', '#헤이죠지', '#스테이크', '#파스타']",1
