,0,1
0,357,1.4만
1,268,1759
2,267,1880
3,133,551
4,181,912
5,1638,9.1만
6,493,4.8만
7,190,911
8,182,902
9,3,0
10,164,753
11,21,199
12,92,100
13,109,805
14,997,2063
15,612,5.7만
16,212,185
17,91,350
18,157,57
19,59,969
20,910,155
21,532,1745
22,584,144
23,43,79
24,33,12
25,497,6024
26,3404,836
27,87,80
28,534,3780
29,215,1360
30,170,19
31,1547,691
32,3,2
33,105,321
34,19,1
35,1082,2665
36,282,370
37,123,234
38,508,5685
39,3,1
40,234,717
41,3,4
42,75,1993
43,17,0
44,111,995
45,104,1583
46,380,5122
47,58,60
48,308,101
49,100,676
50,3,25
51,3,2
52,42,58
53,100,1913
54,29,44
55,103,1038
56,213,163
57,103,1372
58,120,1232
59,300,1.5만
60,218,694
61,102,2704
62,7,126
63,3,1
64,2304,1084
65,879,1130
66,1035,616
67,327,4011
68,200,1219
69,508,1493
70,62,436
71,3,0
72,3,108
73,3,2
74,40,176
75,420,363
76,326,155
77,853,466
78,2507,739
79,657,296
80,167,1.4만
81,1,2
82,376,2880
83,1,0
84,27,14
85,117,118
86,4,3
87,4,1
88,4,0
89,124,238
90,3,1
91,1029,203
92,513,392
93,1090,954
94,1만,813
95,1.1만,906
96,449,3689
97,9958,3293
98,128,510
99,1.1만,1649
100,518,3841
101,158,22
102,79,38
103,600,2099
104,83,56
105,9,7
106,2478,9840
107,24,152
108,260,107
109,4,3
110,922,1221
111,3415,2221
112,160,1236
113,395,310
114,4,1
115,4,29
116,10,9
117,229,317
118,3,0
119,133,18
120,4,0
121,3,1
122,128,18
123,5,1
124,500,3.2만
125,157,535
126,4591,1829
127,1798,1680
128,94,459
129,5.3만,5542
130,244,1498
131,37,125
132,784,2032
133,364,597
134,100,2263
135,814,125
136,33,5
137,67,2558
138,506,525
139,3,4
140,22,1
141,60,701
142,77,157
143,176,236
144,142,503
145,322,2314
146,978,116
147,297,1960
148,167,43
149,874,1451
150,65,1987
151,77,328
152,175,870
153,12,4
154,321,59
155,334,867
156,2343,3.5만
157,631,984
158,489,1371
159,154,545
160,66,35
161,177,4198
162,202,338
163,1321,706
164,37,567
165,276,1269
166,6,8
167,15,228
168,43,1811
169,379,655
170,111,1210
171,274,1702
172,621,300
173,1689,5187
174,594,4032
175,98,181
176,927,21.1만
177,286,48
178,515,3877
179,219,1004
180,54,148
181,4087,2514
182,315,2804
183,2431,1.7만
184,2,2
185,84,178
186,142,484
187,585,7030
188,247,453
189,24,380
190,233,1489
191,2800,2890
192,93,492
193,700,4539
194,1447,413
195,170,97
196,402,220
197,712,565
198,707,3340
199,469,429
200,75,58
201,199,700
202,326,57
203,235,1237
204,271,380
205,148,17
206,332,38
207,452,600
208,4208,474
209,447,1474
210,71,925
211,121,431
212,94,8027
213,209,73
214,329,749
215,6008,6.5만
216,45,25
217,122,78
218,72,252
219,177,610
220,476,704
221,44,5
222,26,15
223,524,257
224,10,8
225,3,476
226,4,1
227,168,442
228,209,418
229,2961,1299
230,15,87
231,618,1만
232,144,144
233,2,55
234,1139,1732
235,187,1375
236,507,586
237,26,141
238,452,99
239,457,1727
240,856,29
241,45,137
242,38,56
243,184,21
244,180,693
245,19,20
246,234,497
247,314,170
248,99,43
249,8,14
250,598,1679
251,982,5.4만
252,1183,220
253,28,297
254,75,148
255,18,7
256,210,1501
257,1106,343
258,8,51
259,846,1237
260,116,1175
261,63,330
262,832,984
263,1만,4558
264,125,1634
265,243,87
266,270,2455
267,3087,8265
268,16,3
269,144,95
270,315,356
271,6,57
272,64,549
273,4,0
274,0,16
275,5293,2415
276,98,3
277,1513,1012
278,1158,236
279,510,220
280,18,104
281,592,123
282,273,1205
283,279,2564
284,78,1
285,41,17
286,1286,1241
287,2532,1195
288,48,13
289,391,354
290,13,676
291,3,119
292,289,424
293,905,1144
294,37,3317
295,333,526
296,2576,974
297,1868,11.9만
298,18,109
299,1973,1280
300,18,113
301,1784,324
302,350,1042
303,73,120
304,260,6332
305,66,1068
306,759,3795
307,228,205
308,4747,3145
309,760,973
310,182,412
311,436,41
312,1247,5929
313,4,3
314,63,87
