Category,ID,Contents,Tags,Tags_sum,Tags_count,Tags_rate,Likes,Scaled_likes,Contents_len
피자,muckboeun,목동에서 찾아낸 유럽 입니다   여자친구 데려가면 칭찬받을 분위기 맛집 양식 맛집  오목교  바톤루즈꾸덕꾸덕한 크림 가득 파스타에 와인 한잔 어떠세요  크림 파스타에 트러플 오일 들어가고 면이 쫄깃한게 존맛탱  귀여운 노른자 톡 터트려서 같이먹으면 더 맛있어집니당   잠봉 페스츄리 피자랑 잠봉 샌드위치도 개맛있어요 ㅠ피자 도우가 바삭하고 촉촉한 페스츄리라 식감 대천재 외관부터 유럽 느낌 뿜뿜하고 아늑해서 데이트장소로 강추합니당 위치 오목교역 6번출구서울 양천구 신목로6길 6 5 1층  주차가능  오전 11시30분부터 21시까지  설날 당일 휴무  리카토니크림파스타_13 000원 잠봉페스츄리_16 000원 보은_오목교  오목교맛집  목동맛집  파스타  파스타맛집  먹스타그램  서울맛집  서울맛집추천  피자  피자맛집  서울데이트  까치산맛집  영등포맛집  여의도맛집  문래동맛집  신도림맛집  화곡동맛집  합정맛집  상수맛집  망원동맛집  선유도맛집  존맛탱,"#바톤루즈꾸덕꾸덕한, #보은_오목교, #오목교맛집, #목동맛집, #파스타, #파스타맛집, #먹스타그램, #서울맛집, #서울맛집추천, #피자, #피자맛집, #서울데이트, #까치산맛집, #영등포맛집, #여의도맛집, #문래동맛집, #신도림맛집, #화곡동맛집, #합정맛집, #상수맛집, #망원동맛집, #선유도맛집, #존맛탱",23,3,13.04,1367,0.7869890616004606,484
피자,x.yui.yui.x,か ふ ーーーっ  前から気になってた ユニバ ランチはルイズ N Y  ピザパーラーの ピザ 𖤐             universal_studios_japan   定番3種類と期間限定メニューのエッグベネディクト風があったよ𖤐       私はクアトロフォルマッジと迷って あとでチュロス食べようと塩気とお肉に走りペパロニに      ペパロニ ピザ1 450yen ト リンク別 ポテト付き  大きくて薄めの生地で 耳までおいしいっ     ᵕ     ひさびさのジャンキーかと思いきや しつこさや脂っこさがなくていい𖤐       たくさん具材ものっていて チーズは少なめですが タバスコがめっちゃ合し美味しかった    ここのピザ普通にイタリアンレストランみたいでテーマパークなのに本格的なのﾟ  ﾟ    人 ﾟ  ﾟまた別の種類も食べたーいっ  中太のホ テトは安定に美味しいよ    ﾟポテトも全部食べるとボリュームもあるのでユニバってわりとお高めのイメージやけど コスパ良き𖤐        朝から夕方までやったのに割と乗れたし 初体験のハリーポッターでは酔ってしまいましたが楽しかった 𓂃 𓈒𓏸໒  マリオワールドも満喫 ハリドリだけ泣く泣く断念したので 乗りたい   また行きたいなー٩ ˊᗜˋ  و       xyui_codex  ユニハ コーテ   usjコーテ   일상  먹스타그램  셀카그램  먹방  pizza  피자  ヘアアレンシ   ゆるふわ巻き  自撮り女子  usjフード  eatingshow  大阪カフェ  大阪ランチ  ティム  ユニバフード  ティムコーテ   テ ートコーテ   ユニバカチューシャ  ユニバーサルスタジオジャパン  universalstudiosjapan  먹방스타그램  오사카여행 あさ とい系女子 supermarioworld  ユンサナにみせたいこのけしき,"#ユニバ, #ピザ, #xyui_codex, #ユニバコーデ, #usjコーデ, #일상, #먹스타그램, #셀카그램, #먹방, #pizza, #피자, #ヘアアレンジ, #ゆるふわ巻き, #自撮り女子, #usjフード, #eatingshow, #大阪カフェ, #大阪ランチ, #ティム, #ユニバフード, #ティムコーデ, #デートコーデ, #ユニバカチューシャ, #ユニバーサルスタジオジャパン, #universalstudiosjapan, #먹방스타그램, #오사카여행, #あざとい系女子, #supermarioworld, #ユンサナにみせたいこのけしき",30,1,3.33,547,0.3149107656879678,850
피자,starcra_food,피자계 있어서 혁명이라고 할 수 있는 피자 피자덕후피자힙 에 방문하고 왔습니다 감탄사가 나올 수밖에 없는 비주얼을 하고 있는 피자입니다  토핑이 정말 푸짐하게 올라가있고 피자에 올가는 토핑의종류가 24시간 수비드한 우대갈비  랍스터 집게 살 등등다양하면서 토핑만 봐도 맛이 없을 수가 없습니다  토핑만 맛있는 게 아니라 매일 수제로 직접 만드는 겉바속촉피자 도우와 특제 비법 소스가 맛을 배로 올려줘 한입 맛보는 순간 웃음이 지어지는 맛입니다  여러 방송 매체에서 방영된 적 있어 믿고 먹을 수 있고맥주나 와인에도 찰떡궁합이라 술 한잔하기에 딱입니다   압구정맛집  압구정로데오맛집  신사맛집  청담맛집  도산공원맛집  서울맛집,"#피자덕후피자힙, #압구정맛집, #압구정로데오맛집, #신사맛집, #청담맛집, #도산공원맛집, #서울맛집",7,0,0.0,408,0.234887737478411,351
피자,todays_busan,광안리  포르타나광안리 필수코스라는치즈 토핑 가득미국 감성 피자맛집  오션뷰 보면서 먹는피맥 조합도 상당한데 퐁실퐁실한 도우에힙한 분위기까지 찢었다    오션뷰 치즈 쭈아압 피자 ㄱ 위치부산광역시 수영구 광안로61번길 60 오늘의부산_광안리,"#포르타나광안리, #오늘의부산_광안리",2,0,0.0,1370,0.7887161773172136,134
피자,nevermind.1220,22 10 19파스타  로벤  loven  범어동맛집  수성구맛집  수성구청역맛집  파스타  파스타맛집  목살플레이트  best4in 피자  시내선맛있게먹었던건데 아쉽네  대구로벤,"#로벤, #loven, #범어동맛집, #수성구맛집, #수성구청역맛집, #파스타, #파스타맛집, #목살플레이트, #best4in, #피자, #시내선맛있게먹었던건데, #아쉽네, #대구로벤",13,2,15.38,20,0.0115141047783534,100
피자,choon_spoon, 울리불리호프가끔 거하게 한잔 걸치고 나면 그 다음으로피자에 소주 한잔이 그리 생각납니다 중요한건 말야  내가 피자를 그리 좋아하지 않다는 사실인데 말입니다 그렇다면 여기 꽤나 좋은 대안이 있지요잠원동 논현역 부근의 울리불리호프 입니다 호프집 피자가 맛있을 일이야  라고 물으신다면 모르겠습니다  학창시절 먹던 피자헛 맛 비스무레 하다고 해야하나요  뭔가 진한 향수가 500 생막에 소주 말아 한잔 그리고 울리불리 피자에 치즈크리스터 추가로 주문한 입 하면 이거 완전 따봉입니다 치즈가 어마어마 하네요개인적으로 구운 순살 치킨 애정 합니다 피자와 구운순살 중에 하나만 강요 하신다면숨도 쉬지 않고 저는 구운순살로 진행 하겠습니다 촉촉한 치킨에 소주 이거 무조건입죠술 맛 오집니다  평일 저녁이라 직장인 분들로 가득한 가게 시끌벅적 해서 지인과의 대화도 어려운 그래도 이런 분위기가 너무 그리웠나봅니다 슬슬 취해가서 보니 과일안주는 주문한 기억도 없습니다 정감가는 피자가 맛있는 호프집 연말연시 모임 2 3차로 가보시길 강추드립니다  내입맛이그래 울리불리 피자 19 000원구운 순살 치킨 22 000원 상호명  울리불리호프 주소  서울 서초구 신반포로47길 17 정문빌딩 문의  02 515 9993 영업시간  17 00   02 00   일요일 휴무 논현역맛집  잠원동맛집  호프맛집 피자  구운치킨  치킨  순살치킨 울리불리피자  치즈크리스트피자 맛집  춘스푼잠원동  춘스푼울리불리호프,"#울리불리호프가끔, #내입맛이그래🥢울리불리, #논현역맛집, #잠원동맛집, #호프맛집, #피자, #구운치킨, #치킨, #순살치킨, #울리불리피자, #치즈크리스트피자, #맛집, #춘스푼잠원동, #춘스푼울리불리호프",14,2,14.29,501,0.2884283246977547,721
피자,food.gwangju_,명절 선물로 안성맞춤인 선물들 예쁜디자인과 정성가득 들어간 수제간식들미리미리 예약하고 바로 픽업받자    ᴗ    و    가격대도 부담스럽지 않아서 더좋아  광주맛집  광주  설  설선물  명절  명절선물  블루바이유  곶감단지  피어썸  도라지정과  청애몽  수제청  약과  수제양갱  온자담  해피데이떡케이크  떡케이크  달달함  과일선물세트  목화당  화과자  풍미호두  호두과자  피자  첨단OBPC  선물  시댁선물  친정선물,"#광주맛집, #광주, #설, #설선물, #명절, #명절선물, #블루바이유, #곶감단지, #피어썸, #도라지정과, #청애몽, #수제청, #약과, #수제양갱, #온자담, #해피데이떡케이크, #떡케이크, #달달함, #과일선물세트, #목화당, #화과자, #풍미호두, #호두과자, #피자, #첨단OBPC, #선물, #시댁선물, #친정선물",28,1,3.57,415,0.2389176741508347,244
피자,matzipgae, 페스토 1티어집  혜자스럽고 독창적인 메뉴 라인업이다 세미드라이 토마토 가지절임의 신선한만남 샌드위치 페스토소스 아삭한 식감 부드러운 빵의 완벽한 삼박자 조합    제주당근 고수 바질 트러플 등등시식이 가능한데 다 좋지만 하나만고르라면 풍미가 죽이는 트러플을 맛도 맛이지만 가격부터 압도적이당  페스토페스토   pesto_pesto_   서울 마포구 동교로 79 1층 망원역 2번 출구 망원동맛집  망원맛집  망원역맛집  망리단길맛집  합정맛집  합정역맛집  홍대맛집  연남동맛집  바질  바질페스토  피자  피자맛집  비건  비건맛집  먹스타그램  맛스타그램  먹팔  먹팔맞팔  먹팔해요  먹스타맞팔,"#망원동맛집, #망원맛집, #망원역맛집, #망리단길맛집, #합정맛집, #합정역맛집, #홍대맛집, #연남동맛집, #바질, #바질페스토, #피자, #피자맛집, #비건, #비건맛집, #먹스타그램, #맛스타그램, #먹팔, #먹팔맞팔, #먹팔해요, #먹스타맞팔",20,2,10.0,914,0.5261945883707542,337
피자,jini.jini79, 모닝빵피자 미시피자 모닝빵으로 피자를 만듭니다 둘째가 피자빵이 먹고싶다는데 식빵이 없어서게으른 엄마는 집에 있는 모닝빵으로 만듭니다 오호라  아주 괜찮은 결과물입니다   모닝빵  미국과 캐나다 및 서양에는 모닝빵이란게 없습니다 대신  dinner roll  이라고 하는 모닝빵보다 훨씬 단 맛이 적은 빵을 점심이나 저녁에 먹습니다 일본으로부터 제빵기술이 전파된 우리나라가 우리식으로 단맛을 더 추가하여 아침식사 대용으로 먹기시작하여  모닝빵  이라는 단어가 생긴듯 합니다  모닝빵피자 모닝빵 유래 피자 피자빵 홈쿡 아침식사 삼시세끼 ,"#모닝빵피자, #미시피자, #모닝빵으로, #모닝빵피자, #모닝빵, #피자, #피자빵, #홈쿡, #아침식사, #삼시세끼",10,1,10.0,88,0.0506620610247553,299
피자,class1216,언제 어디서나 어느 시간에 먹어도 맛있는 피자  피자엔소주  피자엔맥주  서울  대구  목축이는중  피자  맛집,"#피자엔소주, #피자엔맥주, #서울, #대구, #목축이는중, #피자, #맛집",7,2,28.57,0,0.0,62
