Post_num,Followers
1.4만,5363
5724,3424
131,135
177,441
21,77
1330,933
16,10
2261,2193
550,264
230,51
16,120
11,33
1156,864
2032,490
1509,235
21,24
88,36
2460,864
122,96
335,69
27,236
959,1.2만
296,687
7130,5619
806,1.5만
365,4133
1021,2592
56,246
667,3043
11,0
3315,215
37,72
1733,1296
21,56
0,0
17,149
718,3899
74,124
0,43
317,2819
1534,282
3849,1428
383,438
544,3만
2856,2112
170,717
103,163
39,140
832,520
1470,1298
566,272
381,1964
65,571
2833,320
128,469
667,4.4만
1.1만,3393
25,577
228,73
4194,901
80,49
1240,306
692,159
28,860
239,1655
314,712
373,1.4만
95,38
73,103
4097,834
1734,3.4만
386,1141
1423,1.2만
91,29
36,33
2678,899
3000,111
450,4707
79,94
225,3329
1675,267
39,24
1185,242
871,65
17,75
16,1071
300,1062
772,819
332,592
889,3584
24,268
61,10
788,419
16,39
604,681
868,675
0,0
4049,28.6만
120,94
7,55
