Category,ID,Contents,Tags,Tags_sum,Tags_count,Tags_rate,Likes,Scaled_likes
치킨,z.e.o.m,둥근해 대신 올해는  동근 해가 떴습니다  우동사리에 치밥까지 치킨으로 풀코스 즐기는 법 JPG바베큐치킨 먹을 때 됐으면     동근이숯불두마리치킨 입안가득 숯불구이향   야들촉촉 식감으로 꽉찼어요  동근이표 독보적인 양념엔 우동사리 치밥은 무조건임  소금구이는 담백하니 살 안찌는거 아시죠  꽤나 뻔뻔 꼬 소한 치즈스틱과 치즈볼은 정신차리고보니 추가함 동상이몽 요리대첩에 나온 그 치킨 드디어 먹어봤어요한마리는 살짝 서운한데 가성비 두마리치킨이라 좋고 바베큐만 아니라 튀긴치킨도 있어서 싸울일은 없어요요즘 세상에 배달비 없는곳이 있다구요    청주복대점배달구역 전부무료   가경 강서 개신 죽림 산남 수곡    동근이숯불두마리치킨 청주복대점   donggeun2_official  숯불양념 소금세트 26 900  치즈볼 3 000  치즈스틱 3 000   치킨  치킨맛집  배달치킨  배달맛집  숯불바베큐 치킨추천  복대동맛집  청주맛집  청주배달맛집,"#동근이숯불두마리치킨, #동근이숯불두마리치킨, #치킨, #치킨맛집, #배달치킨, #배달맛집, #숯불바베큐, #치킨추천, #복대동맛집, #청주맛집, #청주배달맛집",11,12,109.09,1040,0.1756460057422732
치킨,foodgangster_fgg, 협찬  떡볶이에 타피오카 펄 쏟은 줄 알았다  버블티같은 떡볶이다  맥주를 부르는 맛이다    치킨매니아  한국식 버블티다  치킨이랑 떡볶이의 조합이 이렇게 좋은 줄 처음 알았다  동글동글한 구슬떡볶이라 숟가락으로 퍼먹기 딱 좋다  소스도 진짜 꾸덕하고 진하다  왕새우치킨은 이름값 제대로 한다  블랙타이거만한 새우가 바삭하게 튀겨졌다  치킨도 먹고 새우튀김도 먹고 일석이조다  푸드갱_배달  배달맛집  치킨맛집  떡볶이맛집  배달음식추천  야식추천  치맥  치킨추천,"#치킨매니아, #푸드갱_배달, #배달맛집, #치킨맛집, #떡볶이맛집, #배달음식추천, #야식추천, #치맥, #치킨추천",9,8,88.89,109,0.0184090525249113
치킨,bboong_bbang_2,돼지 사료 일지   506  지코바 성정점뿡빵쓰가 스트레스 받으면 주기적 수혈하는 3대장 1  신라면생라면   맥주   2  엽떡   그리고 3  지코바  양념순살 매운맛                   저도 모르게 이 메뉴들을 찾고 있으면 스트레스 받거나 힐링하고 싶을때 더라구요  매운맛 음식 후후하하 먹어주다보면 자연스럽게 행복감으로 바뀌니깐 간단하게 기분 좋아지고 싶을때는 꼬옥 찾게 되네요  지코바는 무조건 떡사리 추가해서 드시고   순살   닭다리살로만 되어있어서 진짜 핵 맛   로 시키셔야하고  스트레스 확 풀리게 혹은 술안주로 드시고싶다  그럼 매운맛 고고 하세요  후회 안하실껍니다 진쟈루  저희 어머니가 주먹밥 장인이신데  참기름이랑 김 낭낭하게 뿌셔서 만든 주먹밥에 소스 푸욱 찍어서 먹으면 이맛은 진짜 찐행복이예요 오늘도 월요팅 잘 하셨나요  날이 또 갑자기 추워졌네요  저는 감기가 올라고 하는데  여러분들은 감기 조심하세요    지코바 양념 순살 매운맛   20000원   떡사리 서비스, ,0,0,0.0,109,0.0184090525249113
치킨,dhrkspths,얼마나 맛있었으면 포장까지ㄷㄷㄷ    범맥주 임, ,0,0,0.0,9,0.0015200135112312
치킨,a_a_bl0s2om,  노랑통닭ㆍㆍㆍ 대구맛집  먹방  instafood  요리스타그램  요리  맛스타그램  먹스타그램  선팔  맞팔  선팔하면맞팔  선팔해요  followforfollow  맞팔해요  팔로우  팔로잉  팔로미  팔로워  데일리  팔로우미  소통  소통해요  셀피  카페스타그램  댓글  follow4like  좋아요반사  좋아요  like4like,"#대구맛집, #먹방, #instafood, #요리스타그램, #요리, #맛스타그램, #먹스타그램, #선팔, #맞팔, #선팔하면맞팔, #선팔해요, #followforfollow, #맞팔해요, #팔로우, #팔로잉, #팔로미, #팔로워, #데일리, #팔로우미, #소통, #소통해요, #셀피, #카페스타그램, #댓글, #follow4like, #좋아요반사, #좋아요, #like4like",28,6,21.43,19,0.0032089174125992
치킨,yeony_matzipsa,   협찬  소떡소떡 밀어내고 이제는 치떡 시대야식 하면 가장 먼저 생각나는 치킨과 떡볶이가만났다구요  이건 도대체 안먹을수가 없는 조합이에여 _ 부산시장 스타일의 꾸덕하고 감칠맛 가득한 소스에동글동글한 구슬떡   치킨을 소스에 찍어먹어도 맛있고 그냥 숟가락으로 떡만 퍼먹어도 세상 행복 왕새우치킨은 바삭바삭한 튀김옷 안에 탱글한 새우가 있어서 누가 먹어도 좋아할 맛과 식감이에여    치킨매니아   치킨맛집  떡볶이맛집  치킨추천  떡볶이추천  배달맛집,"#치킨맛집, #떡볶이맛집, #치킨추천, #떡볶이추천, #배달맛집",5,6,120.0,742,0.1253166694815065
치킨,cookat.magazine,네네치킨 신상 국물게티X레드마블 네네치킨에서 신메뉴를 선보입니다  넉넉한 국물에 떡볶이 양념이 잔뜩 밴  국물게티 와 매콤달콤한  레드마블치킨 이 그 주인공입니다 국물게티는 로제맛  매콤맛 두 가지로 취향에 맞게 즐길 수 있는데요  깊고 진한맛의 특제 떡볶이 소스가 스파게티면에 잔뜩 들러 붙어 입안에 풍미가 가득한데  바삭한 치킨과 함께 즐기기 좋아요 이번 네네치킨 신상  국물게티 와  레드마블치킨  세트를 쿠캣 신상마켓에서 40  할인된 가격으로 먼저 만나보세요   쿠캣 신상마켓 보러가기 cookat magazine 프로필링크   네네치킨  네네치킨신상  신상마켓  쿠캣신상마켓  국물게티  로제게티  매콤게티  레드마블치킨  레드마블  치킨  치킨추천  스파게티  파스타  홈술  분식  야식  저메추  쿠캣  쿠캣마켓  신상리뷰  쿠캣매거진  쿠캣디  pasta  spaghetti  chicken,"#네네치킨, #네네치킨신상, #신상마켓, #쿠캣신상마켓, #국물게티, #로제게티, #매콤게티, #레드마블치킨, #레드마블, #치킨, #치킨추천, #스파게티, #파스타, #홈술, #분식, #야식, #저메추, #쿠캣, #쿠캣마켓, #신상리뷰, #쿠캣매거진, #쿠캣디, #pasta, #spaghetti, #chicken",25,5,20.0,888,0.1499746664414794
치킨,wooo_new,맵찔이도 폭풍흡입하는   고추바사삭   볼케이노   오늘은 굽네치킨입니다    배달  굽네치킨제 최애치킨인 굽네치킨 고추바사삭은 왜 매일 땡기는거죠 더 매운게 땡길땐 볼케이노와 함께 행복한 고민에 빠집니다  그렇다고 반반시키기엔 튀김옷이 없는 굽네 특성상 양이 적다  괜찮아요 한마리   한마리 세트가 있으니까요총 두마리가 오는 세트 구성이라니요 이 구성 매우 칭찬합니다  볼케이노는 치밥으로 유명하죠  볼케이노 시키면 마그마소스는 항상 따로 주는데 이거 진짜 맘에 들더라구요너무 맵지도 않고 맵찔이들도 충분히 맛있게 먹을 수 있어요  고추바사삭은 고블링 마블링 소스가 진짜 존맛탱  ㅠㅠㅠㅠㅠ오늘 저녁 치맥은 굽네치킨으로 해야겠어요      굽네치킨 치 치 세트  32 000  우뉴_배달 배달음식  배달맛집  고추바사삭  볼케이노  굽네치킨메뉴,"#굽네치킨제, #우뉴_배달, #배달음식, #배달맛집, #고추바사삭, #볼케이노, #굽네치킨메뉴",7,3,42.86,797,0.1346056409390305
치킨,matport_,참숯치킨은 절대 못참지   치즈소스도 못참지     훌랄라치킨  훌랄라참숯바베큐치킨  광고 제가 참숯치킨 참 좋아하는데요   치킨은 역시 훌랄라 훌랄라는 참숯향이 아주 일품인 촉촉한 치킨이에요 오븐에 촉촉하게 구워내어 참숯에서 한번 더 구워주시는  맛있는 양념옷을 입고 탄생하는 존맛 치킨 양념된 치킨구이에 치즈소스가 뿌려진다면   이건 완전 꿀조합이라 안먹어봐도 맛있쥬  약간 매콤한 양념에 치즈가 더해져 짝을 제대로 만났어용 치즈볼과 라면사리까지 추가해주시면 탄단지 제대로ㅋㅋㅋ라면사리 추가하면 소스에 같이 비벼져 나오는데 엄지척  치킨이랑 같이 먹으면 그렇게 맛있을수가 없네요ㅠㅠ앞으로 치킨은 여기로 정착합니닷     1월 배달의 민족 매주 수요일 3 000원 할인  배달의 민족 1월 23 29일 포장 기획전 3 500원 할인  요기요 1월 매일 신메뉴 3종 3 000원 할인중 훌랄라치킨  안산맛집 인천맛집 치킨맛집 숯불치킨 숯불바베큐 서산맛집  대전맛집  동탄맛집  대구맛집  파주맛집  서울맛집  경기도맛집  치킨  양념치킨  foodporn  foodpics,"#훌랄라치킨, #훌랄라참숯바베큐치킨, #훌랄라치킨, #안산맛집, #인천맛집, #치킨맛집, #숯불치킨, #숯불바베큐, #서산맛집, #대전맛집, #동탄맛집, #대구맛집, #파주맛집, #서울맛집, #경기도맛집, #치킨, #양념치킨, #foodporn, #foodpics",19,18,94.74,757,0.1278500253335585
치킨,sun_star520,            하하호호오늘 넘 많이 웃었다 대화가 되는 나이가 됐군   좀 천천히 커주라    햄버거셔틀   상전아들 바쁜 남편대신 예약했더니호텔인줄 알고 왔는데콘도였어   하   어쩔수 없지하고 들어왔는데생각보다 뷰도 좋고 넓직하고리모델링해서 깔끔하다   싄나싄나   춤추고난리 ㅎㅎㅎㅎ 야식  치킨 모시러갔다 맨발의청춘  영하14도  뛰고뛰고또뛰고  추워도좋아  눈이좋아 감사            휘닉스평창,"#하하호호오늘, #햄버거셔틀, #상전아들, #싄나싄나🎶, #춤추고난리, #야식, #치킨, #맨발의청춘, #영하14도, #뛰고뛰고또뛰고, #추워도좋아, #눈이좋아, #감사, #휘닉스평창",14,1,7.14,1,0.0001688903901368
치킨,kysnara_, 리그램    dangchiddaeng official by  get_regrammer EVENT 당치땡 행운의부적 인증샷 이벤트      당치땡이 준비한 행운의 부적과 함께하는여러분의 일상을 공유해주세요      추첨을 통해 당치땡 교환권을 드립니다       참여 방법① 당치땡을 주문하고  행운의 부적 을 받는다② 부적과 함께 찍은 사진을 인스타그램 피드 또는 스토리에 올린다  필수 계정태그    dangchiddaeng  필수 해시태그    당치땡  부적인증샷  당치땡부적     TIP  당치땡 팔로우 게시물 좋아요 시 당첨 확률 UP UP       응모 기간2023  01  05 수    01  31 화       당첨자 발표2023  02  06 월       당첨자 경품당치땡 2만원권 10명        참여 시 주의사항  당치땡 공식 계정을 꼭 태그해주세요   주문 시 랜덤 부적 제공 여부 및 수령 조건을 꼭 확인해주세요   랜덤 부적은 지점별 선착순 제공되어 조기 소진될 수 있습니다   비공개 계정일 경우 게시물 확인이 어려워 당첨 대상에서 제외될 수 있습니다  당치땡  당신은지금치킨이땡긴다  치킨  치킨추천  이벤트  EVENT  행운의부적  신년부적  새해부적  당치땡부적  인증샷이벤트,"#리그램, #EVENT🍀당치땡, #당치땡, #부적인증샷, #당치땡부적⠀⠀⠀⠀, #당치땡, #당신은지금치킨이땡긴다, #치킨, #치킨추천, #이벤트, #EVENT, #행운의부적, #신년부적, #새해부적, #당치땡부적, #인증샷이벤트",16,3,18.75,1,0.0001688903901368
치킨,carl_bizarre_foodventures,Made Fried Chicken   rice again after almost 3 years   This time I used Korean Fried Chicken  the real KFC   Also had some kimchi and miso soup with clams and mushrooms on the side  koreanfriedchicken  friedchicken  chikin  치킨  huraideuchikin  후라이드치킨  rice  chickenrice  riceislife  kimchi  misosoup  sunday  lunch  weekend  foodstagram,"#koreanfriedchicken, #friedchicken, #chikin, #치킨, #huraideuchikin, #후라이드치킨, #rice, #chickenrice, #riceislife, #kimchi, #misosoup, #sunday, #lunch, #weekend, #foodstagram",15,2,13.33,2,0.0003377807802736
치킨,friendlyleung,2022   10   16저녁   Noodles with Fishballs  Meatballs and Chicken in Soup        梁家家常菜________________________ dinner  dadscooking  noodles  fishball  meatballs  chickenwings  chicken  homemade  jmt  yummy  lifestyle  daily  저녁  집밥  국수  미트볼  치킨  고기  홈메이드  홈쿡  냠냠  먹스타그램  맛스타그램  맛있다  존맛  좋아요  라이프스타일  일상  데일리,"#梁家家常菜________________________, #dinner, #dadscooking, #noodles, #fishball, #meatballs, #chickenwings, #chicken, #homemade, #jmt, #yummy, #lifestyle, #daily, #저녁, #집밥, #국수, #미트볼, #치킨, #고기, #홈메이드, #홈쿡, #냠냠, #먹스타그램, #맛스타그램, #맛있다, #존맛, #좋아요, #라이프스타일, #일상, #데일리",30,6,20.0,10,0.001688903901368
치킨,eun_y_park, 치킨 아이들 방학집에서 치킨 만들어서 먹으니 아들이 더 맛있다고 하네요   ,"#치킨, #아이들",2,1,50.0,2,0.0003377807802736
치킨,helth_bruni,맘스터치 치킨 맛있당  치킨  야식  맘스터치치킨  맘스터치  양념치킨  간장마늘치킨  블로거  20대남자  치느님,"#치킨, #야식, #맘스터치치킨, #맘스터치, #양념치킨, #간장마늘치킨, #블로거, #20대남자, #치느님",9,4,44.44,2,0.0003377807802736
치킨,a_stamoon,치팅데이  , ,0,0,0.0,21,0.0035466981928728
치킨,e.cla.tant__bob,크크크 치킨 맛있다  맛집 신혼부부 신혼 부부 일상 부부스타그램 신혼부부밥상 신혼부부그램 집밥 크크크치킨 60계치킨 치킨,"#맛집, #신혼부부, #신혼, #부부, #일상, #부부스타그램, #신혼부부밥상, #신혼부부그램, #집밥, #크크크치킨, #60계치킨, #치킨",12,5,41.67,2,0.0003377807802736
