Post_num,Followers
9,6
33,4
201,501
265,1042
118,64
185,107
768,885
317,2819
1925,740
5667,2601
53,10
304,3535
258,2203
288,4026
274,4224
3770,1556
260,4328
319,4637
408,4318
509,4559
390,4110
341,4305
892,685
20,308
1012,947
1176,1359
1.1만,1664
22,194
780,1.6만
537,560
4653,383
113,578
3.6만,2722
12,48
1813,2809
49,18
26,15
43,570
286,327
66,67
581,660
347,55
133,406
592,1만
188,242
429,5398
7418,1855
228,1만
59,941
142,60
2119,422
1499,1308
186,1281
126,2127
122,124
249,384
437,418
88,322
137,612
408,688
479,1200
337,67
40,283
651,780
1553,2616
21,16
913,191
407,4350
38,1135
21,8
1098,476
749,2566
944,6920
88,147
127,4044
6,54
47,735
1834,1410
41,1039
844,1769
175,1713
3778,3134
4,57
78,81
616,369
284,3378
1249,1369
1257,1872
19,261
1525,760
895,612
196,1.3만
408,1082
949,1158
4,277
138,67
99,377
264,3696
5396,751
1152,1만
198,70
